id_entidad,entidad_norm,nit_entidad,departamento,ciudad,orden,sector
2418,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MONIQUIRA INPEC,820000970,Boyacá,Moniquirá,Nacional,Ley de Justicia
2419,ALCALDIA DE JORDAN,800124166,Santander,Jordán,Territorial,No aplica/No pertenece
2420,INSTITUCION EDUCATIVA DEPARTAMENTAL MISAEL GOMEZ,832001590,Cundinamarca,Villagómez,Nacional,Educación Nacional
2421,PERSONERIA MUNICIPAL BELALCAZAR CALDAS,890802650,Caldas,Belalcázar,Territorial,Servicio Público
2422,CPMS FUSAGASUGA,808000716,Cundinamarca,Fusagasugá,Nacional,Ley de Justicia
2423,CONCEJO MUNICIPAL DE ISNOS HUILA,800097098,No Definido,No Definido,Territorial,No aplica/No pertenece
2424,CONCEJO DE FLORIDABLANCA,804011758,Santander,Floridablanca,Territorial,No aplica/No pertenece
2425,INSTITUCION EDUCATIVA MANUEL MARIA MALLARINO,800175490,Valle del Cauca,Cali,Territorial,Educación Nacional
2426,INSTITUCION EDUCATIVA MATECANDELA,834001394,Arauca,Arauca,Territorial,Educación Nacional
2427,PERSONERIA MUNICIPAL DE LA TEBAIDA,800255176,Quindío,La Tebaida,Territorial,No aplica/No pertenece
2428,INSTITUTO MUNICIPAL DE CULTURA Y CIUDADANIA DE APARTADO,901465799,Antioquia,Apartadó,Territorial,Cultura
2429,ESE HOSPITAL SAN ONOFRE,8230004965,Sucre,San Onofre,Territorial,Salud y Protección Social
2430,I E T LA VEGA DE LOS PADRES,809006078,Tolima,Coello,Territorial,Educación Nacional
2431,INSTITUCION EDUCATIVA JOSE MARIA CORDOBA,805009827,Valle del Cauca,Yumbo,Territorial,Educación Nacional
2432,INSTITUTO PARA EL DESARROLLO DEL CESAR,9000624898,Cesar,Valledupar,Territorial,No aplica/No pertenece
2433,MUNICIPIO DE GUADALUPE ANTIOQUIA,890981162,Antioquia,No Definido,Territorial,Servicio Público
2434,CONCEJO MUNICIPAL DE AMAGA,8909817320,Antioquia,Amagá,Territorial,No aplica/No pertenece
2435,CENTRO EDUCATIVO EL MAMEY,900025803,Cesar,Curumaní,Nacional,Educación Nacional
2436,PERSONERIA MUNICIPAL DE LA LLANADA,814006963,No Definido,No Definido,Nacional,No aplica/No pertenece
2437,HOSPITAL DEPARTAMENTAL DE GRANADA E S E,8000370217,Meta,Granada,Territorial,Salud y Protección Social
2438,INSTITUCION EDUCATIVA MANUELA BELTRAN,844001450,Casanare,Yopal,Territorial,Educación Nacional
2439,MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL HUILA,800216593,Huila,Neiva,Nacional,Trabajo
2440,IMRDA,808001195,Cundinamarca,Anapoima,Territorial,deportes
2441,PERSONERIA MUNICIPAL DE SEGOVIA,890981391,Antioquia,Segovia,Territorial,No aplica/No pertenece
2442,PATRIMONIO AUTONOMO CONECTIVIDAD PARA CAMBIAR VIDAS,830054060,Distrito Capital de Bogotá,Bogotá,Nacional,Tecnologías de la Información y las Comunicaciones
2443,COLEGIO NELSON MANDELA IED,900871861,Distrito Capital de Bogotá,Bogotá,Territorial,Educación Nacional
2444,INSTITUCION EDUCATIVA TECNICA CAMACHO ANGARITA,800006889,Tolima,Chaparral,Nacional,Servicio Público
2445,CGR GERENCIA DEPARTAMENTAL VAUPES,899999067,Vaupés,Mitú,Nacional,No aplica/No pertenece
2446,DEPARTAMENTO DE POLICIA GUAVIARE,800252722,Guaviare,San José Del Guaviare,Nacional,defensa
2447,ESE SAN ANTONIO DE PADUA DE PINCHOTE SANTANDER,804015047,No Definido,No Definido,Territorial,No aplica/No pertenece
2448,ESCUELA DE POSTGRADOS DE POLICIA,800226849,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
2449,CONCEJO MUNICIPAL DE GAMA,800094684,Cundinamarca,Gama,Territorial,Educación Nacional
2450,INSTITUCION EDUCATIVA TECNICO AGROPECUARIO DE HATO NUEVO,823000664,Sucre,Corozal,Nacional,Educación Nacional
2451,INSTITUCION EDUCATIVA MARIA AUXILIADORA DE LOS CEDROS,900011804,No Definido,No Definido,Nacional,Educación Nacional
2452,ASAMBLEA DEPARTAMENTAL DE ANTIOQUIA,890900286,Antioquia,Medellín,Territorial,Servicio Público
2453,MUNICIPIO VALLE DEL GUAMUEZ,800102912,Putumayo,Valle Del Guamuez,Territorial,Servicio Público
2454,INSTITUCION EDUCATIVA ALBERTO MENDOZA MAYOR,800039277,Valle del Cauca,Yumbo,Territorial,Educación Nacional
2455,INSTITUCION EDUCATIVA NOBEL JUAN MANUEL SANTOS,901089263,No Definido,No Definido,Nacional,Educación Nacional
2456,ESECU,800141263,Meta,Villavicencio,Nacional,defensa
2457,ESCUELA DE POLICIA ANTONIO NARINO,800141257,Atlántico,Soledad,Nacional,Educación Nacional
2458,IE SAN SEBASTIAN DE YASCUAL,800011333,Nariño,Túquerres,Territorial,Educación Nacional
2459,COLEGIO GENERAL SANTANDER INSTITUCION EDUCATIVA DISTRITAL LOC 10,830055451,Distrito Capital de Bogotá,Bogotá,Territorial,Educación Nacional
2460,COLEGIO JOHN F KENNEDY IED,899999732,Distrito Capital de Bogotá,Bogotá,Territorial,Educación Nacional
2461,COLEGIO KIMI PERNIA DOMICO INSTITUCION EDUCATIVA DISTRITAL,900277707,Distrito Capital de Bogotá,Bogotá,Territorial,Educación Nacional
2462,CPAMS GIRON,804015585,Santander,Girón,Nacional,Ley de Justicia
2463,CENTRO DE SALUD BELEN EMPRESA SOCIAL DEL ESTADO,814001677,Nariño,Belén,Territorial,Salud y Protección Social
2464,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO BANCO DE SUELOS E INMOBILIARIO DE MONTERIA,901809997,Córdoba,Montería,Territorial,Industria
2465,MUNICIPIO DE FLORESTA,800026368,Boyacá,Floresta,Territorial,Servicio Público
2466,HOSPITAL JUAN DOMINGUEZ ROMERO DE SOLEDAD E S E EN LIQUIDACION,8020097663,Atlántico,Barranquilla,Territorial,No aplica/No pertenece
2467,DEPARTAMENTO DE POLICIA URABA UNIDAD PRESTADORA DE SALUD,800141103,Antioquia,Apartadó,Nacional,defensa
2468,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE LA CEJA,890980758,Antioquia,La Ceja,Territorial,Salud y Protección Social
2469,PERSONERIA MUNICIPAL DE JAMUNDI VALLE DEL CAUCA,805012247,Valle del Cauca,Jamundí,Territorial,No aplica/No pertenece
2470,INSTITUCION ETNOEDUCATIVA NO 7,900458351,La Guajira,Riohacha,Territorial,Educación Nacional
2471,AGUAS DE CIMITARRA,901315376,Santander,Cimitarra,Territorial,No aplica/No pertenece
2472,MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL QUINDIO,801003571,Quindío,Armenia,Nacional,Trabajo
2473,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ARAUCA INPEC,834000421,No Definido,No Definido,Nacional,Ley de Justicia
2474,CONCEJO MUNICIPAL DE CALARCA,890000441,Quindío,Calarca,Territorial,Servicio Público
2475,CORPORACION HONORABLE CONCEJO MUNICIPAL DE GINEBRA VALLE,800100520,Valle del Cauca,Ginebra,Territorial,No aplica/No pertenece
2476,CONCEJO ANSERMA,890801139,Caldas,Anserma,Territorial,interior
2477,CONCEJO MUNICIPAL DE GACHANCIPA,899999419,Cundinamarca,Gachancipá,Territorial,No aplica/No pertenece
2478,PERSONERIA MUNICIPAL DE BETULIA,890982321,Antioquia,Betulia,Territorial,Ley de Justicia
2479,CONCEJO MUNICIPAL DE SUBACHOQUE,899999314,Cundinamarca,Subachoque,Territorial,No aplica/No pertenece
2480,CONTRALORIA GENERAL DE LA REPUBLICA CGR GERENCIA DEPARTAMENTAL AMAZONAS,899999067,No Definido,No Definido,Nacional,No aplica/No pertenece
2481,PERSONERIA MUNICIPAL DE CUBARA,900110423,Boyacá,Cubará,Territorial,No aplica/No pertenece
2482,CONTRALORIA GENERAL DE LA REPUBLICA CGR GERENCIA DEPARTAMENTAL MAGDALENA,899999067,Magdalena,Santa Marta,Nacional,No aplica/No pertenece
2483,ESTABLECIMIENTO PUBLICO COLEGIO DE BOYACA,891800260,Boyacá,Tunja,Territorial,Educación Nacional
2484,INSTITUTO DE DESARROLLO ECONOMICO DEL SUR,901075548,Nariño,Ipiales,Territorial,"Vivienda, Ciudad y Territorio"
2485,EMPRESA DE DESARROLLO URBANO Y RURAL TAMESIS,901476496,Antioquia,Támesis,Territorial,Industria
2486,PERSONERIA SALENTO,8900011270,Quindío,Salento,Territorial,No aplica/No pertenece
2487,GOBERNACION DEL VALLE DEL CAUCA SECRETARIA DE VIVIENDA Y HABITAT,8903990295,Valle del Cauca,Cali,Territorial,Servicio Público
2488,PERSONERIA MUNICIPAL DE ANSERMA,890801139,Caldas,Anserma,Territorial,No aplica/No pertenece
2489,MUNICIPIO DE GUACA,890208360,Santander,Guaca,Territorial,Servicio Público
