id_entidad,entidad_norm,nit_entidad,departamento,ciudad,orden,sector
711,CENTRAL DE TRANSPORTES ESTACION CUCUTA,8905014335,Norte de Santander,Cúcuta,Territorial,Transporte
712,AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES ANLA,900467239,Distrito Capital de Bogotá,Bogotá,Nacional,Ambiente y Desarrollo Sostenible
713,ESTABLECIMIENTO PENITENCIARIO ALTA Y MEDIANA SEGURIDAD Y CARCELARIO ALTA SEGURIDAD DE POPAYAN INPEC POPAYAN,817005159,No Definido,No Definido,Nacional,Ley de Justicia
714,INSTITUTO NACIONAL PARA SORDOS,860016627,Distrito Capital de Bogotá,Bogotá,Nacional,Educación Nacional
715,UNIDAD DE PLANEACION DE INFRAESTRUCTURA DE TRANSPORTE,901525615,Distrito Capital de Bogotá,Bogotá,Nacional,Transporte
716,IMPRENTA NACIONAL DE,830001113,Distrito Capital de Bogotá,No Definido,Nacional,interior
717,MUNICIPIO DE MACEO,8909809583,Antioquia,Maceo,Territorial,Servicio Público
718,ALCALDIA DISTRITAL DE SANTA MARTA,891780009,Magdalena,Santa Marta,Territorial,Servicio Público
719,ESE HOSPITAL PADRE CLEMENTE GIRALDO,890981182,No Definido,No Definido,Territorial,Salud y Protección Social
720,DEPARTAMENTO DEL ARAUCA,8001028385,Arauca,Arauca,Territorial,Servicio Público
721,CONSEJO NACIONAL ELECTORAL,901717412,Distrito Capital de Bogotá,Bogotá,Nacional,No aplica/No pertenece
722,GOBERNACION DE CALDAS,890801052,Caldas,No Definido,Territorial,No aplica/No pertenece
723,CONGRESO DE LA REPUBLICA HONORABLE SENADO DE LA REPUBLICA,899999103,Distrito Capital de Bogotá,Bogotá,Nacional,No aplica/No pertenece
724,HOSPITAL DEPARTAMENTAL SAN JUAN DE DIOS DE PUERTO CARRENO1,842000004,Vichada,Puerto Carreño,Territorial,Salud y Protección Social
725,RNEC,899999040,Distrito Capital de Bogotá,Bogotá,Nacional,No aplica/No pertenece
726,INSTITUTO DE CULTURA Y PATRIMONIO DE ANTIOQUIA,900425129,Antioquia,No Definido,Territorial,Cultura
727,POLICIA METROPOLITANA DE IBAGUE UPRES TOLIMA,900486439,Tolima,Ibagué,Nacional,defensa
728,CONCEJO MUNICIPAL PAZ DE RIO,8918550152,Boyacá,Paz De Río,Territorial,No aplica/No pertenece
729,CONTRALORIA DEPARTAMENTAL DEL TOLIMA,890706847,Tolima,Ibagué,Territorial,Servicio Público
730,ESE HOSPITAL DEPARTAMENTAL SAN RAFAEL,891780008,Magdalena,Fundación,Territorial,Salud y Protección Social
731,ORQUESTA FILARMONICA DE BOGOTA,899999282,Distrito Capital de Bogotá,Bogotá,Territorial,Cultura
732,MUNICIPIO DE SEGOVIA,890981391,Antioquia,No Definido,Territorial,Servicio Público
733,MUNICIPIO DE VALPARAISO CAQUETA,800050407,Caquetá,Valparaíso,Territorial,Servicio Público
734,EMPRESA DE DESARROLLO URBANO DE ARMENIA EDUA,8900014243,Quindío,Armenia,Territorial,No aplica/No pertenece
735,ICBF REGIONAL HUILA,899999239,Huila,No Definido,Nacional,Salud y Protección Social
736,MUNICIPIO DE CAROLINA DEL PRINCIPE,890984068,Antioquia,Carolina,Territorial,Servicio Público
737,ALCALDIA MUNICIPAL SAN PEDRO DE URABA,890983814,Antioquia,San Pedro De Uraba,Territorial,Servicio Público
738,SENA REGIONAL ANTIOQUIA GRUPO ADMINISTRATIVO CTTAOA,899999034,Antioquia,Santafé De Antioquia,Nacional,Trabajo
739,ALCALDIA LOCAL DE SUBA,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Servicio Público
740,BOMBEROS DE BUCARAMANGA,800022620,Santander,Bucaramanga,Territorial,No aplica/No pertenece
741,ICBF REGIONAL NORTE DE SANTANDER,899999239,Norte de Santander,Cúcuta,Nacional,Salud y Protección Social
742,ICBF REGIONAL SUCRE,899999239,Sucre,Sincelejo,Nacional,Salud y Protección Social
743,ICBF REGIONAL CHOCO,899999239,Chocó,No Definido,Nacional,Salud y Protección Social
744,INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACION DE IBAGUE,900406856,Tolima,Ibagué,Territorial,deportes
745,INSTITUCION EDUCATIVA TECNICA MORENO Y ESCANDON,809002832,Tolima,Mariquita,Territorial,Educación Nacional
746,RAMA JUDICIAL DIRECCION EJECUTIVA DE ADMINISTRACION JUDICIAL,800093816,Distrito Capital de Bogotá,Bogotá,Nacional,Ley de Justicia
747,HOSPITAL LOCAL PRIMER NIVEL E S E FUENTEDEORO,822001570,Meta,Fuente De Oro,Territorial,Salud y Protección Social
748,SENA REGIONAL CALDAS CENTRO PARA LA FORMACION CAFETERA,899999034,Caldas,Manizales,Nacional,Trabajo
749,MUNICIPIO DE SOGAMOSO,891855130,Boyacá,Sogamoso,Territorial,Servicio Público
750,DANE SURORIENTE,899999027,Meta,Villavicencio,Nacional,Información Estadística
751,INSTITUTO DEL DEPORTE LA EDUCACION FISICA Y LA RECREACION DEL VALLE DEL CAUCA INDERVALLE,805012896,Valle del Cauca,Cali,Territorial,deportes
752,TRANSCARIBE,806014488,Bolívar,Cartagena,Territorial,Transporte
753,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR REGIONAL BOLIVAR,899999239,Bolívar,Cartagena,Nacional,Salud y Protección Social
754,ALCALDIA MUNICIPIO DE PALMIRA,891380007,Valle del Cauca,Palmira,Territorial,Servicio Público
755,FONDO DE DESARROLLO SOCIAL DE EL RETIRO,900198194,Antioquia,Retiro,Territorial,Industria
756,UNIVERSIDAD CENTRAL,8600247461,No Definido,No Definido,Corporación Autónoma,Educación Nacional
757,CONCEJO MUNICIPAL DE MONTERIA,812000227,Córdoba,Montería,Territorial,Servicio Público
758,CORPORACION AUTONOMA DEL RIO GRANDE DE LA MAGDALENA,829000127,Distrito Capital de Bogotá,Bogotá,Nacional,Ambiente y Desarrollo Sostenible
759,IMDERS SIBATE,800195132,Cundinamarca,Sibaté,Territorial,deportes
760,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE BOGOTA,800165862,Distrito Capital de Bogotá,No Definido,Nacional,Ley de Justicia
761,UNIAJC,805000889,Valle del Cauca,Cali,Territorial,Educación Nacional
762,MUNICIPIO DE URRAO,890907515,Antioquia,Urrao,Territorial,Servicio Público
763,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,800173719,Tolima,Espinal,Nacional,Educación Nacional
764,FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DEL MUNICIPIO DE SABANETA,811015791,Antioquia,Sabaneta,Territorial,"Vivienda, Ciudad y Territorio"
765,CENTRAL ADMINISTRATIVA Y CONTABLE DE CUCUTA,900063431,Norte de Santander,Cúcuta,Nacional,defensa
766,CONCEJO MUNICIPAL DE CALDAS,890980447,Antioquia,Caldas,Territorial,No aplica/No pertenece
767,CENTRAL ADMINISTRATIVA ESPECIALIZADA INGENIEROS CENAC INGENIEROS,830087443,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
768,MUNICIPIO DE TIBIRITA,800094782,Cundinamarca,Tibirita,Territorial,No aplica/No pertenece
769,PROVIDENCE AND KETTLINA UTILITIES COMPANY,901352888,"San Andrés, Providencia y Santa Catalina",Providencia,Territorial,No aplica/No pertenece
770,ALCALDIA MUNICIPAL DE MORALES CAUCA,891500982,Cauca,Morales,Territorial,Servicio Público
771,ALCALDIA MUNICIPIO DE ZIPAQUIRA,899999318,Cundinamarca,Zipaquirá,Territorial,Servicio Público
772,MUNICIPIO DE YONDO,890984265,Antioquia,Yondó,Territorial,No aplica/No pertenece
773,DEPARTAMENTO DE CUNDINAMARCA SECRETARIA DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,899999114,Distrito Capital de Bogotá,No Definido,Territorial,Tecnologías de la Información y las Comunicaciones
774,MUNICIPIO DE LA MERCED,890802795,Caldas,La Merced,Territorial,No aplica/No pertenece
775,SENA DIRECCION GENERAL,899999034,Distrito Capital de Bogotá,Bogotá,Nacional,Trabajo
776,ESPUCAL,8000051519,Cundinamarca,La Calera,Territorial,No aplica/No pertenece
777,DEPARTAMENTO DE CUNDINAMARCA SECRETARIA DE INTEGRACION REGIONAL,899999114,Distrito Capital de Bogotá,No Definido,Territorial,No aplica/No pertenece
778,CONSERVATORIO DEL TOLIMA,890700906,Tolima,Ibagué,Territorial,Educación Nacional
779,TRANSITO DE LOS PATIOS,807003659,Norte de Santander,Los Patios,Territorial,Transporte
780,ALCALDIA MUNICIPAL SAN CARLOS,890983740,Antioquia,San Carlos,Territorial,Servicio Público
781,INSTITUCION EDUCATIVA NUESTRO SENOR DEL RIO DE CHILES,800045612,No Definido,No Definido,Territorial,Educación Nacional
782,ESE HOSPITAL LOCAL CARTAGENA DE INDIAS,806010305,Bolívar,Cartagena,Territorial,Salud y Protección Social
783,ALCALDIA MUNICIPAL DE LA UNION,890981995,Antioquia,No Definido,Territorial,Planeación
784,INSTITUTO COLOMBIANO DE BALLET CLASICO INCOLBALLET,890326969,Valle del Cauca,No Definido,Territorial,Cultura
785,INSTITUTO DE CAMINOS Y CONSTRUCCIONES DE CUNDINAMARCA ICCU,900258711,Distrito Capital de Bogotá,Bogotá,Territorial,Transporte
786,UAE FONDO NACIONAL DE ESTUPEFACIENTES,899999327,Distrito Capital de Bogotá,Bogotá,Nacional,Salud y Protección Social
787,IMTTA,8001248333,Cesar,Aguachica,Territorial,Transporte
788,FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DE TIBASOSA FOMVITI,800125595,Boyacá,Tibasosa,Territorial,"Vivienda, Ciudad y Territorio"
789,INSTITUCION EDUCATIVA DEPARTAMENTAL AGRICOLA PARATEBUENO,832001920,No Definido,No Definido,Territorial,Educación Nacional
790,DIRECCION NACIONAL DE DERECHO DE AUTOR,8001859292,Distrito Capital de Bogotá,No Definido,Nacional,interior
791,SENA REGIONAL BOLIVAR CENTRO PARA LA INDUSTRIA PETROQUIMICA,899999034,Bolívar,Cartagena,Nacional,Trabajo
792,INSTITUTO MUNICIPAL DE DEPORTE Y RECREACION DE JAMUNDI IMDERE,8001884217,Valle del Cauca,Jamundí,Territorial,deportes
793,HOSPITAL SAN CARLOS ESE SALDANA,890701300,Tolima,Saldaña,Territorial,Salud y Protección Social
794,MUNICIPIO DE SANTA ROSA BOLIVAR,890481343,Bolívar,Santa Rosa,Territorial,Servicio Público
795,EMPRESA SOCIAL DEL ESTADO REGION DE SALUD SOACHA,800006850,Cundinamarca,Soacha,Territorial,Salud y Protección Social
796,CORPORACION SOCIAL DE CUNDINAMARCA,899999421,Distrito Capital de Bogotá,Bogotá,Territorial,Servicio Público
797,E S E HOSPITAL SAN JUAN DE DIOS DE SANTA FE DE ANTIOQUIA,8909822641,Antioquia,Santafé De Antioquia,Territorial,No aplica/No pertenece
798,ISVIMED,900014480,Antioquia,Medellín,Territorial,"Vivienda, Ciudad y Territorio"
799,MUNICIPIO DE CALDAS ANTIOQUIA,890980447,Antioquia,Caldas,Territorial,Servicio Público
800,MUNICIPIO DE VITERBO,800090833,Caldas,No Definido,Territorial,Servicio Público
801,VALLECAUCANA DE AGUAS,900333452,Valle del Cauca,Cali,Territorial,No aplica/No pertenece
802,POLICIA METROPOLITANA DE NEIVA,900634185,Risaralda,Pereira,Nacional,defensa
803,E S E HOSPITAL SANTO DOMINGO SAVIO,804005555,Santander,El Playón,Territorial,agricultura
804,ALCALDIA DE GIRARDOTA,890980807,Antioquia,Girardota,Territorial,No aplica/No pertenece
805,ART,901006886,Distrito Capital de Bogotá,Bogotá,Nacional,Presidencia de la República
806,ESAP TERRITORIAL CALDAS,800117525,Caldas,No Definido,Nacional,Servicio Público
807,SECRETARIA GENERAL DE LA ALCALDIA MAYOR DE BOGOTA,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Servicio Público
808,ASAMBLEA DEPARTAMENTAL DE BOYACA,8000547438,Boyacá,Tunja,Territorial,Servicio Público
809,CONCEJO MUNICIPAL DE MOCOA PUTUMAYO,846001181,Putumayo,Mocoa,Territorial,Servicio Público
810,PERSONERIA MUNICIPAL DE ZIPAQUIRA,832000349,Cundinamarca,Zipaquirá,Territorial,Servicio Público
811,INSTITUTO DISTRITAL DE ACCION COMUNAL DE CARTAGENA Y EL CARIBE,901841125,Bolívar,Cartagena,Territorial,No aplica/No pertenece
812,MUNICIPIO DE PUERTO BERRIO,890980049,Antioquia,No Definido,Territorial,Servicio Público
813,ALCALDIA LOCAL DE USAQUEN,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Servicio Público
814,SUBCUENTA DEL SISTEMA DE PARQUES NACIONALES NATURALES DEL FONDO NACIONAL AMBIENTAL FONAM DTCA,901037393,Magdalena,Santa Marta,Nacional,Ambiente y Desarrollo Sostenible
815,EDUNA COMPRADOR,9014427611,Antioquia,Santa Rosa De Osos,Nacional,Servicio Público
816,CORPORACION AGENCIA NACIONAL DE GOBIERNO DIGITAL,901144049,Distrito Capital de Bogotá,Bogotá,Nacional,Tecnologías de la Información y las Comunicaciones
817,INSTITUCION EDUCATIVA NINO JESUS PRAGA,809000090,Tolima,Ibagué,Territorial,Educación Nacional
818,CONCEJO MUNICIPAL DE VALLEDUPAR,892300780,Cesar,Valledupar,Territorial,No aplica/No pertenece
819,DIRECCION TERRITORIAL DE SALUD DE CALDAS,800114312,Caldas,Manizales,Territorial,Salud y Protección Social
820,ALCALDIA MUNICIPAL DE CHIA,899999172,Cundinamarca,Chía,Territorial,Servicio Público
821,ASMETA,900056772,Meta,Villavicencio,Territorial,No aplica/No pertenece
822,ENTIDAD ADMINISTRADORA DE PENSIONES DE ANTIOQUIA,800216278,No Definido,No Definido,Territorial,Salud y Protección Social
823,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE IBAGUE,8001659455,Tolima,Ibagué,Nacional,Ley de Justicia
824,DEPARTAMENTO DE CUNDINAMARCA SECRETARIA DE HACIENDA,899999114,Cundinamarca,No Definido,Territorial,Hacienda y Crédito Público
825,EMPRESA SOCIAL DEL ESTADO HOSPITAL EMIRO QUINTERO CANIZARES 12,890501438,Norte de Santander,Ocaña,Territorial,Salud y Protección Social
826,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE PEREIRA,800165940,Risaralda,Pereira,Nacional,Ley de Justicia
827,E S E HOSPITAL SAN RAFAEL DE CAQUEZA,832001411,Cundinamarca,Caqueza,Territorial,Salud y Protección Social
828,ESE HOSPITAL SALAZAR DE VILLETA,860015929,Cundinamarca,No Definido,Territorial,Salud y Protección Social
829,INDUSTRIA LICORERA DEL CAUCA,891500719,Cauca,Popayán,Territorial,Industria
830,ALCALDIA MUNICIPAL COTA,899999705,Cundinamarca,Cota,Territorial,Servicio Público
831,INFIBAGUE,890700755,Tolima,Ibagué,Territorial,No aplica/No pertenece
832,SENA REGIONAL HUILA GRUPO ADMINISTRATIVO CDATH,899999034,Huila,La Plata,Nacional,Trabajo
833,INSTITUTO DISTRITAL DE LA PARTICIPACION Y ACCION COMUNAL,900127054,Distrito Capital de Bogotá,No Definido,Territorial,Inclusión Social y Reconciliación
834,ALCALDIA DE MOCOA,800102891,No Definido,No Definido,Territorial,No aplica/No pertenece
835,DIRECCION DE SANIDAD DE LA POLICIA NACIONAL DISAN PONAL,830041314,Distrito Capital de Bogotá,No Definido,Nacional,defensa
836,ALCALDIA MUNICIPIO HATO COROZAL,800012638,Casanare,Hato Corozal,Territorial,No aplica/No pertenece
837,PERSONERIA MUNCIPAL DE PAYA,901834825,Boyacá,Paya,Territorial,Ley de Justicia
838,MUNICIPIO DE CARTAGO,891900493,Valle del Cauca,Cartago,Territorial,No aplica/No pertenece
839,CONCEJO MUNICIPAL DE BUCARAMANGA,804003778,Santander,Bucaramanga,Territorial,Ley de Justicia
840,ALCALDIA MUNICIPAL DE GACHETA,899999331,Cundinamarca,Gachetá,Territorial,Servicio Público
841,SENA CENTRO LATINOAMERICANO DE ESPECIES MENORES TULUA,899999034,Valle del Cauca,Tuluá,Nacional,Trabajo
842,MUNICIPIO DE VERSALLES,891901155,Valle del Cauca,Versalles,Territorial,No aplica/No pertenece
843,PATRIMONIO AUTONOMO FONDO DE SEGURIDAD VIAL,830053630,No Definido,No Definido,Nacional,Hacienda y Crédito Público
844,LICEOS DEL EJERCITO,800130640,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
845,INSTITUTO DISTRITAL DE SANTA MARTA PARA LA RECREACION Y EL DEPORTE,901132407,Magdalena,Santa Marta,Territorial,deportes
846,RED DE SALUD DEL ORIENTE ESE,805027337,Valle del Cauca,Cali,Territorial,Salud y Protección Social
847,ALCALDIA MUNICIPIO DE MONIQUIRA,800099662,Boyacá,Moniquirá,Territorial,No aplica/No pertenece
848,PERSONERIA DISTRITAL DE BARRANQUILLA,802001234,Atlántico,Barranquilla,Territorial,No aplica/No pertenece
849,ASAMBLEA DEPARTAMENTAL DEL HUILA,8001039134,Huila,Neiva,Territorial,No aplica/No pertenece
850,INSTITUTO DE DEPORTE Y RECREACION DE CALDAS INDEC,800019147,Antioquia,Caldas,Territorial,deportes
851,ESE HOSPITAL PEDRO CLAVER AGUIRRE YEPES,800139704,No Definido,No Definido,Territorial,Salud y Protección Social
852,UNIDAD PRESTADORA DE SALUD BOGOTA,901361596,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
853,INSTITUCION EDUCATIVA LICEO TAME,800234047,No Definido,No Definido,Territorial,Educación Nacional
854,ALCALDIA MUNICIPAL DE NOBSA,891855222,Boyacá,Nobsa,Territorial,Servicio Público
855,EMPRESA SOCIAL DEL ESTADO CENTRO SALUD RICAURTE,900058218,Cundinamarca,Ricaurte,Territorial,Salud y Protección Social
856,CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL,899999073,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
857,CONCEJO MUNICIPAL DE RICAURTE,890680059,Cundinamarca,Ricaurte,Territorial,No aplica/No pertenece
858,MUNICIPIO DE EL BAGRE,890984221,Antioquia,El Bagre,Territorial,Servicio Público
859,INSTITUCION EDUCATIVA ANTONIA SANTOS DE MALAMBO,802006959,No Definido,No Definido,Nacional,Educación Nacional
860,MUNICIPIO DE UBATE,899999281,Cundinamarca,Villa De San Diego De Ubate,Territorial,Servicio Público
861,IMDERMITI,900379601,Bolívar,Simití,Territorial,No aplica/No pertenece
862,MUNICIPIO DE REMEDIOS,890984312,Antioquia,No Definido,Territorial,Servicio Público
863,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,890480308,Bolívar,Cartagena,Territorial,Educación Nacional
864,GOBERNACION DEL VALLE DEL CAUCA SECRETARIA DE DESARROLLO SOCIAL Y PARTICIPACION,8903990291,Valle del Cauca,Cali,Territorial,Servicio Público
865,EPGA,900022034,Boyacá,No Definido,Territorial,No aplica/No pertenece
866,MUNICIPIO DE SOTAQUIRA,891801061,Boyacá,Sotaquirá,Territorial,Servicio Público
867,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE ARBELAEZ,890680031,No Definido,No Definido,Territorial,Salud y Protección Social
868,REGION METROPOLITANA,901665578,Distrito Capital de Bogotá,Bogotá,Territorial,No aplica/No pertenece
869,ICBF REGIONAL MAGDALENA,899999239,Magdalena,Santa Marta,Nacional,Salud y Protección Social
870,HOSPITAL REGIONAL DE MONIQUIRA ESE,891800395,Boyacá,Moniquirá,Territorial,Salud y Protección Social
871,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE BUCARAMANGA,800165941,Santander,Bucaramanga,Nacional,Ley de Justicia
872,MINISTERIO DE TRABAJO DIRECCION TERRITORIAL CAQUETA,800228881,Caquetá,Florencia,Nacional,Trabajo
873,CONTRALORIA GENERAL DE CALDAS,800077897,No Definido,No Definido,Territorial,Servicio Público
874,MUNICIPIO DE CAREPA,890985316,Antioquia,Carepa,Territorial,No aplica/No pertenece
875,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA LA INMACULADA,844002298,Casanare,Yopal,Territorial,Educación Nacional
876,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E S E,900958564,Distrito Capital de Bogotá,Bogotá,Territorial,Salud y Protección Social
877,INSTITUTO DISTRITAL PARA LA PROTECCION DE LA NINEZ Y LA JUVENTUD IDIPRON,899999333,Distrito Capital de Bogotá,No Definido,Territorial,Salud y Protección Social
878,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE JERICO,811010104,No Definido,No Definido,Nacional,Ley de Justicia
879,HOSPITAL DEPARTAMENTAL TOMAS URIBE URIBE ESE,891901158,Valle del Cauca,Tuluá,Territorial,Salud y Protección Social
880,MUNICIPIO DE FRONTINO,890983706,Antioquia,Frontino,Territorial,"Vivienda, Ciudad y Territorio"
881,INSTITUTO DE TURISMO DE VILLAVICENCIO,822005959,Meta,Villavicencio,Territorial,Industria
882,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE MANIZALES,800165850,No Definido,No Definido,Nacional,Ley de Justicia
883,MUNICIPIO LA ARGENTINA,891180205,Huila,La Argentina,Territorial,Servicio Público
884,SENA REGIONAL CAQUETA,899999034,Caquetá,No Definido,Nacional,Trabajo
885,UPRES VALLE,901361882,Valle del Cauca,Cali,Nacional,defensa
886,MUNICIPIO DE CERINZA,891857805,Boyacá,Cerinza,Territorial,Servicio Público
887,MUNICIPIO SAN RAFAEL ANTIOQUIA,890982123,Antioquia,San Rafael,Nacional,Presidencia de la República
888,SUPERVIGILANCIA MD,800217123,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
889,ICBF REGIONAL VAUPES,899999239,Vaupés,Mitú,Nacional,Salud y Protección Social
890,ALCALDIA MUNICIPAL DE TURBACO BOLIVAR,890481149,Bolívar,Turbaco,Territorial,Servicio Público
891,CONTRALORIA GENERAL DE BOYACA,891800721,Boyacá,Tunja,Territorial,No aplica/No pertenece
892,ESE SAN BLAS DE MORROA,823002856,No Definido,No Definido,Territorial,Salud y Protección Social
893,INSTITUTO MUNICIPAL DE CULTURA RECREACION Y DEPORTE DE ITAGUI,901364194,Antioquia,Itagui,Territorial,deportes
894,MUNICIPIO DE EL ROSAL,832002318,Cundinamarca,El Rosal,Territorial,Servicio Público
895,PERSONERIA MUNICIPAL DE NEIVA,8002512646,Huila,No Definido,Nacional,No aplica/No pertenece
896,UNIDADES TECNOLOGICAS DE SANTANDER,890208727,Santander,Bucaramanga,Territorial,No aplica/No pertenece
897,INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACION DE SINCELEJO,823000308,Sucre,Sincelejo,Territorial,deportes
898,ICBF REGIONAL CASANARE,899999239,Casanare,No Definido,Nacional,Salud y Protección Social
899,INSTITUTO DE DEPORTES Y RECREACION DEL MUNICIPIO DE FACATATIVA,800215793,Cundinamarca,Facatativá,Territorial,deportes
900,INSTITUCION EDUCATIVA GENERAL SANTANDER,805022382,No Definido,No Definido,Territorial,Educación Nacional
901,ARMADA NACIONAL GRUPO GUARDACOSTAS DEL AMAZONAS,838000055,Amazonas,Leticia,Nacional,defensa
902,PERSONERIA MUNICIPAL DE COGUA,899999466,Cundinamarca,Cogua,Territorial,Ley de Justicia
903,ALCALDIA MUNICIPAL DE GUAPOTA,890204979,Santander,Guapotá,Territorial,Servicio Público
904,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,890325989,Valle del Cauca,Cali,Territorial,Cultura
905,CONTRALORIA DISTRITAL DE MEDELLIN,811026988,Antioquia,Medellín,Territorial,No aplica/No pertenece
906,CORPORACION PARA EL DESARROLLO SOSTENIBLE DEL URABA,890907748,Antioquia,Apartadó,Territorial,Ambiente y Desarrollo Sostenible
907,ALCALDIA MUNICIPAL DE SAN JOSE DE LA MONTANA,800022618,No Definido,No Definido,Territorial,Servicio Público
908,SENA REGIONAL META GRUPO DE APOYO ADMINISTRATIVO MIXTO,899999034,Meta,No Definido,Nacional,Trabajo
909,DITRA,830090486,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
910,SENA REGIONAL CALDAS CENTRO DE COMERCIO Y SERVICIOS,899999034,Caldas,Manizales,Nacional,Trabajo
911,MUNICIPIO DE TIMANA,891180182,Huila,Timaná,Territorial,Servicio Público
912,ALCALDIA MUNICIPAL DE PAUNA,891801368,Boyacá,Pauna,Territorial,No aplica/No pertenece
913,ARMADA NACIONAL HOSPITAL NAVAL DE CARTAGENA,9015410214,Bolívar,Cartagena,Nacional,Salud y Protección Social
914,CGR NIVEL CENTRAL,899999067,Distrito Capital de Bogotá,No Definido,Nacional,No aplica/No pertenece
915,MUNICIPIO DE SANTA ROSA DE CABAL,891480033,Risaralda,Santa Rosa De Cabal,Territorial,Servicio Público
916,HSVPG,890000448,No Definido,No Definido,Territorial,Salud y Protección Social
917,FONDO DE DESARROLLO LOCAL DE LA CANDELARIA,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Servicio Público
918,SENA REGIONAL SANTANDER GRUPO DE APOYO ADMINISTRATIVO MIXTO,899999034,Santander,Bucaramanga,Nacional,Trabajo
919,EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL SAGRADO CORAZON DE NORCASIA,810000912,Caldas,Norcasia,Territorial,Salud y Protección Social
920,INSTITUTO MUNICIPAL DE DEPORTE Y RECREACION DE TABIO,832001000,Cundinamarca,Tabio,Territorial,Servicio Público
921,INSTITUTO MUNICIPAL DE CULTURA Y TURISMO DE BUCARAMANGA,890204594,Santander,Bucaramanga,Territorial,Cultura
922,DTAO FONAM,901037393,Antioquia,No Definido,Nacional,Ambiente y Desarrollo Sostenible
923,DIMAR GRUPO INTENDENCIA REGIONAL PACIFICO,835000771,Valle del Cauca,No Definido,Nacional,defensa
924,GOBERNACION VALLE DEL CAUCA SECRETARIA DE SALUD,890399029,Valle del Cauca,Cali,Territorial,Salud y Protección Social
925,MUNICIPIO DE TAMESIS,890981238,Antioquia,Támesis,Territorial,Servicio Público
926,SENA REGIONAL CUNDINAMARCA GRUPO ADMINISTRATIVO CAE,8999990341,Cundinamarca,Fusagasugá,Nacional,Trabajo
927,INSTITUTO DEPARTAMENTAL DE DEPORTES DE ANTIOQUIA,811007127,Antioquia,Medellín,Nacional,No aplica/No pertenece
928,ALCALDIA DE GAMA,800094684,Cundinamarca,Gama,Territorial,No aplica/No pertenece
929,EFR,900403616,Distrito Capital de Bogotá,No Definido,Territorial,Transporte
930,CPAMSEB,8200009822,Boyacá,No Definido,Nacional,Ley de Justicia
931,INSTITUCION UNIVERSITARIA DEL PUTUMAYO,800247940,Putumayo,Mocoa,Territorial,Educación Nacional
932,MUNICIPIO DE GOMEZ PLATA,890983938,Antioquia,Gómez Plata,Territorial,Servicio Público
933,PERSONERIA MUNICIPAL DE VILLAVICENCIO,800251167,Meta,Villavicencio,Territorial,Servicio Público
934,TECNOLOGICO DE ARTES DEBORA ARANGO INSTITUCION REDEFINIDA,811042967,Antioquia,Envigado,Territorial,Educación Nacional
935,MINISTERIO DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES DE,899999053,Distrito Capital de Bogotá,Bogotá,Nacional,Tecnologías de la Información y las Comunicaciones
936,MUNICIPIO DE TERUEL,891180181,Huila,Teruel,Territorial,Servicio Público
937,ALCALDIA MUNICIPAL DE COCORNA,890984634,Antioquia,No Definido,Territorial,Servicio Público
938,ALCALDIA MUNICIPAL SUSACON BOYACA,891856472,Boyacá,Susacón,Territorial,No aplica/No pertenece
939,ALCALDIA MUNICIPAL DE MOGOTES,890205632,Santander,Mogotes,Territorial,No aplica/No pertenece
